a,a
abandon,v
ability,n
able,j
abortion,n
about,i
about,r
above,i
above,r
abroad,r
absence,n
absolute,j
absolutely,r
absorb,v
abstract,j
abuse,n
abuse,v
academic,j
accelerate,v
accent,n
accept,v
acceptable,j
acceptance,n
access,n
access,v
accessible,j
accident,n
accommodate,v
accompany,v
accomplish,v
accomplishment,n
according,i
account,n
account,v
accountability,n
accounting,n
accuracy,n
accurate,j
accurately,r
accusation,n
accuse,v
achieve,v
achievement,n
acid,n
acknowledge,v
acquire,v
acquisition,n
across,i
across,r
act,n
act,v
action,n
active,j
actively,r
activist,n
activity,n
actor,n
actress,n
actual,j
actually,r
ad,n
adapt,v
add,v
added,j
addition,i
addition,n
additional,j
address,n
address,v
adequate,j
adjust,v
adjustment,n
administer,v
administration,n
administrative,j
administrator,n
admire,v
admission,n
admit,v
adolescent,n
adopt,v
adoption,n
adult,n
advance,n
advance,v
advanced,j
advantage,n
adventure,n
advertising,n
advice,n
advise,v
adviser,n
advocate,n
advocate,v
aesthetic,j
affair,n
affect,v
afford,v
afraid,j
African,j
African-American,j
after,c
after,i
afternoon,n
afterward,r
again,r
against,i
age,n
age,v
agency,n
agenda,n
agent,n
aggression,n
aggressive,j
ago,r
agree,v
agreement,n
agricultural,j
agriculture,n
ah,u
ahead,i
ahead,r
aid,n
aid,v
aide,n
AIDS,n
aim,n
aim,v
air,n
aircraft,n
airline,n
airplane,n
airport,n
aisle,n
alarm,n
album,n
alcohol,n
alien,n
alike,r
alive,j
all,d
all,r
allegation,n
alleged,j
allegedly,r
alley,n
alliance,n
allow,v
ally,n
almost,r
alone,j
alone,r
along,i
along,r
alongside,i
already,r
also,r
alter,v
alternative,j
alternative,n
although,c
altogether,r
aluminum,n
always,r
AM,r
amazing,j
ambassador,n
ambition,n
ambitious,j
amendment,n
American,j
American,n
amid,i
among,i
amount,n
analysis,n
analyst,n
analyze,v
ancestor,n
ancient,j
and,c
and/or,c
angel,n
anger,n
angle,n
angry,j
animal,n
ankle,n
anniversary,n
announce,v
announcement,n
annual,j
annually,r
anonymous,j
another,d
another,p
answer,n
answer,v
anticipate,v
anxiety,n
anxious,j
any,d
any,r
anybody,p
anymore,r
anyone,p
anything,p
anyway,r
anywhere,r
apart,i
apart,r
apartment,n
apologize,v
apology,n
apparent,j
apparently,r
appeal,n
appeal,v
appear,v
appearance,n
apple,n
application,n
apply,v
appoint,v
appointment,n
appreciate,v
appreciation,n
approach,n
approach,v
appropriate,j
approval,n
approve,v
approximately,r
Arab,j
Arab,n
architect,n
architecture,n
area,n
arena,n
argue,v
argument,n
arise,v
arm,n
arm,v
armed,j
army,n
around,i
around,r
arrange,v
arrangement,n
array,n
arrest,n
arrest,v
arrival,n
arrive,v
arrow,n
art,n
article,n
articulate,v
artifact,n
artificial,j
artist,n
artistic,j
as,c
as,i
as,r
ash,n
Asian,j
aside,r
ask,v
asleep,j
aspect,n
ass,n
assault,n
assemble,v
assembly,n
assert,v
assess,v
assessment,n
asset,n
assign,v
assignment,n
assist,v
assistance,n
assistant,j
assistant,n
associate,j
associate,n
associate,v
associated,j
association,n
assume,v
assumption,n
assure,v
astronomer,n
at,i
athlete,n
athletic,j
atmosphere,n
atop,i
attach,v
attack,n
attack,v
attempt,n
attempt,v
attend,v
attendance,n
attention,n
attitude,n
attorney,n
attract,v
attraction,n
attractive,j
attribute,v
auction,n
audience,n
aunt,n
author,n
authority,n
authorize,v
auto,n
automatic,j
automatically,r
automobile,n
autonomy,n
availability,n
available,j
average,j
average,n
average,v
avoid,v
await,v
awake,j
award,n
award,v
aware,j
awareness,n
away,i
away,r
awful,j
baby,n
back,n
back,r
back,v
background,n
backyard,n
bacteria,n
bad,j
badly,r
bag,n
bake,v
balance,n
balance,v
balanced,j
ball,n
balloon,n
ballot,n
ban,n
ban,v
banana,n
band,n
bank,n
banker,n
banking,n
bankruptcy,n
bar,n
bare,j
barely,r
barn,n
barrel,n
barrier,n
base,n
base,v
baseball,n
basement,n
basic,j
basically,r
basis,n
basket,n
basketball,n
bat,n
bath,n
bathroom,n
battery,n
battle,n
battle,v
bay,n
be,v
beach,n
beam,n
bean,n
bear,n
bear,v
beard,n
beast,n
beat,n
beat,v
beautiful,j
beauty,n
because,c
because,i
become,v
bed,n
bedroom,n
bee,n
beef,n
beer,n
before,c
before,i
before,r
beg,v
begin,v
beginning,n
behalf,i
behave,v
behavior,n
behavioral,j
behind,i
behind,r
being,n
belief,n
believe,v
bell,n
belly,n
belong,v
below,i
below,r
belt,n
bench,n
bend,v
beneath,i
benefit,n
benefit,v
beside,i
besides,i
besides,r
best,j
best,r
bet,n
bet,v
better,j
better,r
between,i
beyond,i
beyond,r
bias,n
Bible,n
bicycle,n
bid,n
big,j
bike,n
bill,n
billion,m
bind,v
biography,n
biological,j
biology,n
bird,n
birth,n
birthday,n
bishop,n
bit,n
bit,r
bite,n
bite,v
bitter,j
black,j
black,n
blade,n
blame,v
blank,j
blanket,n
blast,n
blend,v
bless,v
blessing,n
blind,j
blink,v
block,n
block,v
blond,j
blood,n
bloody,j
blow,n
blow,v
blue,j
blue,n
board,n
boast,v
boat,n
body,n
boil,v
bold,j
bolt,n
bomb,n
bomb,v
bombing,n
bond,n
bone,n
bonus,n
book,n
boom,n
boost,v
boot,n
booth,n
border,n
boring,j
born,v
borrow,v
boss,n
both,d
both,r
bother,v
bottle,n
bottom,j
bottom,n
bounce,v
boundary,n
bow,n
bow,v
bowl,n
box,n
boy,n
boyfriend,n
brain,n
brake,n
branch,n
brand,n
brave,j
bread,n
break,n
break,v
breakfast,n
breast,n
breath,n
breathe,v
breathing,n
breeze,n
brick,n
bride,n
bridge,n
brief,j
briefly,r
bright,j
brilliant,j
bring,v
British,j
broad,j
broadcast,n
broadcast,v
broken,j
broker,n
bronze,n
brother,n
brown,j
brush,n
brush,v
brutal,j
bubble,n
buck,n
bucket,n
buddy,n
budget,n
bug,n
build,v
builder,n
building,n
bulb,n
bulk,n
bull,n
bullet,n
bunch,n
burden,n
bureau,n
burn,v
burning,j
burst,v
bury,v
bus,n
bush,n
business,n
businessman,n
busy,j
but,c
but,i
butt,n
butter,n
butterfly,n
button,n
buy,v
buyer,n
by,i
by,r
cab,n
cabin,n
cabinet,n
cable,n
cage,n
cake,n
calculate,v
calculation,n
calendar,n
call,n
call,v
calm,j
calm,v
camera,n
camp,n
campaign,n
campus,n
can,n
can,v
Canadian,j
cancel,v
cancer,n
candidate,n
candle,n
candy,n
canvas,n
cap,n
capability,n
capable,j
capacity,n
capital,n
captain,n
capture,v
car,n
carbohydrate,n
carbon,n
card,n
care,n
care,v
career,n
careful,j
carefully,r
cargo,n
carpet,n
carrier,n
carrot,n
carry,v
cart,n
cartoon,n
carve,v
case,c
case,n
cash,n
casino,n
cast,n
cast,v
casual,j
casualty,n
cat,n
catalog,n
catch,n
catch,v
category,n
Catholic,j
Catholic,n
cattle,n
cause,n
cause,v
cave,n
cease,v
ceiling,n
celebrate,v
celebration,n
celebrity,n
cell,n
cemetery,n
center,n
central,j
century,n
CEO,n
ceremony,n
certain,j
certainly,r
chain,n
chair,n
chairman,n
challenge,n
challenge,v
chamber,n
champion,n
championship,n
chance,n
change,n
change,v
changing,j
channel,n
chaos,n
chapter,n
character,n
characteristic,n
characterize,v
charge,i
charge,n
charge,v
charity,n
charm,n
chart,n
charter,n
chase,v
cheap,j
cheat,v
check,n
check,v
cheek,n
cheer,v
cheese,n
chef,n
chemical,j
chemical,n
chemistry,n
chest,n
chew,v
chicken,n
chief,j
chief,n
child,n
childhood,n
chill,n
chin,n
Chinese,j
chip,n
chocolate,n
choice,n
cholesterol,n
choose,v
chop,v
Christian,j
Christian,n
Christianity,n
Christmas,n
chronic,j
chunk,n
church,n
cigarette,n
circle,n
circle,v
circuit,n
circumstance,n
cite,v
citizen,n
citizenship,n
city,n
civic,j
civil,j
civilian,j
civilian,n
civilization,n
claim,n
claim,v
class,n
classic,j
classical,j
classify,v
classroom,n
clay,n
clean,j
clean,v
clear,j
clear,v
clearly,r
clerk,n
click,v
client,n
cliff,n
climate,n
climb,v
cling,v
clinic,n
clinical,j
clip,n
clock,n
close,j
close,r
close,v
closed,j
closely,r
closer,j
closest,j
closet,n
cloth,n
clothes,n
clothing,n
cloud,n
club,n
clue,n
cluster,n
coach,n
coach,v
coal,n
coalition,n
coast,n
coastal,j
coat,n
cocaine,n
code,n
coffee,n
cognitive,j
coin,n
cold,j
cold,n
collaboration,n
collapse,n
collapse,v
collar,n
colleague,n
collect,v
collection,n
collective,j
collector,n
college,n
colonial,j
colony,n
color,n
