dates,company,member,title
December 2014,Hasso Plattner Institute,jonas-pohlmann-77a64b82,Working Student IT-Gipfelblog
April 2013,,jonas-pohlmann-77a64b82,Working Student
July 2013,DLR,jonas-pohlmann-77a64b82,Intern
March 2009,BaFin,jonas-pohlmann-77a64b82,Intern
October 2011,,jonas-pohlmann-77a64b82,
March 2009,,timm-krohn-ph-d-7098311b,CEO
October 2005,Hasso-Plattner-Institute,timm-krohn-ph-d-7098311b,COO
September 2015,Google,julian-labeit-02b642105,Software Engineer Internship
November 2014,Hasso Plattner Institute,nils-strelow-809110101,Student Assistant
January 2011,Clifford Chance (Germany),nils-strelow-809110101,IT Intern
May 2015,Hasso Plattner Institute,kuhnpatrick,Research Assistant
August 2015,SAP,kuhnpatrick,Summer Intern
February 2016,Hasso Plattner Institute,lawrencebenson,Student Research Assistant
October 2015,HERE,lawrencebenson,Software Engineer Intern
August 2015,SAP,lawrencebenson,Summer Intern - Software Engineering
November 2014,Hasso Plattner Institute,lawrencebenson,Student Assistant
April 2012,Steppschuh,steppschuh,Self Employed Android Developer
October 2012,Hasso Plattner Institute,steppschuh,Lead Android Developer
August 2014,OUTFITTERY,steppschuh,Android Developer
August 2013,,steppschuh,Web Developer
August 2012,Ozone Communications LLC,steppschuh,Web Developer
July 2011,,steppschuh,.NET Developer
January 2011,,steppschuh,.NET Developer
October 2013,,steppschuh,
July 2014,Elsevier Health Analytics,carlambroselli,Research Engineer
2012,Mobile Developer Group,carlambroselli,iOS Developer
2014,Internet Security Chair HPI,carlambroselli,Java Developer
2014,,carlambroselli,iOS Developer
2014,,carlambroselli,iOS Developer
2014,Hasso Plattner Institute,carlambroselli,IT-Forensic Research
2013,VOSTELL MEDIA,carlambroselli,Web Developer
2013,,carlambroselli,JavaScript Developer
2013,mbrace labs GmbH,carlambroselli,iOS Developer
2013,,carlambroselli,iOS & Web Developer
2011,,carlambroselli,Web Developer
2012,,carlambroselli,iOS & Web Developer
2012,,carlambroselli,Conference Speaker
2012,,carlambroselli,iOS Developer
2012,,carlambroselli,iOS Developer
2011,,carlambroselli,iOS & Android Developer
2009,,carlambroselli,IT Intern
2008,,carlambroselli,IT Intern
October 2013,,carlambroselli,
2014,,carlambroselli,
March 2011,Hasso Plattner Institute,rosina-geiger-2b230b54,PR and Marketing Manager
November 2009,,rosina-geiger-2b230b54,Assistant to Executive Management/ Internal Communications/ Change Management
June 2007,,rosina-geiger-2b230b54,PR and Marketing Officer
January 2007,,rosina-geiger-2b230b54,Publishing Assistant
October 2005,,rosina-geiger-2b230b54,Project Manager
2010,,carlambroselli,
February 2011,,thomas-frederix-1a9627a,Administratief Bediende
March 2010,,thomas-frederix-1a9627a,Stagiair Marketing Assistant
October 2015,dm drogerie markt Kft.,sebastian-gellweiler-a44bb988,Dualer Student
July 2013,DLR,sebastian-gellweiler-a44bb988,Intern
November 2012,,sebastian-gellweiler-a44bb988,IT Assistant
April 2011,allesklar.com AG/ meinestadt.de,sebastian-gellweiler-a44bb988,Intern
October 2007,Hasso-Plattner-Institut,hpi-school-of-design-thinking-66404224,Design Thinking
December 2008,LinkedIn,jeffweiner08,CEO
April 2012,Intuit,jeffweiner08,"Member, Board of Directors"
2007,DonorsChoose,jeffweiner08,"Member, Board of Directors"
2011,Boys & Girls Clubs of the Peninsula,jeffweiner08,"Member, Advisory Board"
2012,Venture For America,jeffweiner08,"Member, Advisory Board"
2007,Malaria No More,jeffweiner08,"Member, Board of Directors"
September 2008,Accel Partners,jeffweiner08,Executive in Residence
September 2008,Greylock,jeffweiner08,Executive in Residence
May 2001,Yahoo!,jeffweiner08,Executive Vice President Network Division
June 2000,,jeffweiner08,Founding Partner
September 1994,Warner Bros.,jeffweiner08,Vice President Online
September 1992,Braxton Associates,jeffweiner08,Senior Analyst
May 2011,,katharinahoelzle,Professor for Innovation Management and Entrepreneurship
October 2010,Hasso-Plattner-Institute,katharinahoelzle,Guest Professor on Entrepreneurship & Business Administration
October 2009,HPI School of Design Thinking,katharinahoelzle,Guest Professor
2010,,katharinahoelzle,Assistant Professor
November 2008,TU Berlin,katharinahoelzle,Post-doc Candidate
January 2003,,katharinahoelzle,Research Associate
2001,,katharinahoelzle,Manager
2000,Cap Gemini Ernst & Young,katharinahoelzle,Consultant
1999,Infineon Technology,katharinahoelzle,Strategic Logistic Consultant
January 1995,University of Karlsruhe,katharinahoelzle,Graduate Assistant
2007,Hasso-Plattner-Institute,uliweinberg,Leiter School of Design Thinking
September 2006,Hasso-Plattner-Institut,felix-naumann-074972,Professor
April 2014,Accenture,patrickkuhn,SAP HCM Consultant
June 2012,Cognizant Technology Solutions,patrickkuhn,SAP HCM Functional Analyst
August 2011,Penn State University,patrickkuhn,Learning Assistant
September 2006,Sheetz,patrickkuhn,Salesperson
November 2013,Hasso-Plattner-Institute,cindyfaehnrich,PhD Student/Research Assistant
May 2012,Hasso-Plattner-Institute,cindyfaehnrich,Student Assistant
October 2009,Hasso-Plattner-Institute,cindyfaehnrich,Student Assistant
April 2011,Hasso-Plattner-Institute,cindyfaehnrich,Student Assistant
March 2008,,cindyfaehnrich,casual office employee
,,cindyfaehnrich,
February 2011,Hasso-Plattner-Institute,matthiasbauer83,Research Associate
January 2015,,matthiasbauer83,
January 2016,,danijar,Student Research Assistant
October 2015,,danijar,Student Researcher
August 2015,Google Inc.,danijar,Software Engineering Intern
October 2014,,danijar,Student Research Assistant
May 2014,,danijar,Software Engineer Contractor
April 2013,,danijar,Software Engineer
May 2013,Saarland University,mario-ziegler-650911b8,Wissenschaftlicher Mitarbeiter
2012,Staatliches Studienseminar für das Lehramt an Gymnasien,mario-ziegler-650911b8,Lehramtsanwärter
2008,Saarland University,mario-ziegler-650911b8,Lehrbeauftragter
2008,,mario-ziegler-650911b8,Lehrkraft für besondere Aufgaben
2006,,mario-ziegler-650911b8,Postdoc-Stipendiat
2002,Saarland University,mario-ziegler-650911b8,Wissenschaftlicher Mitarbeiter
2014,,mario-ziegler-650911b8,
April 2013,,annie-kerguenne-6284005b,Design Thinking Training Developer and Design Thinking Lead Coach
January 2013,,annie-kerguenne-6284005b,Creative Strategist and Coach
January 2011,Dentsu,annie-kerguenne-6284005b,Managing Director Brand Strategy
2002,,annie-kerguenne-6284005b,Deputy Managing Director and Planner
2000,"Foote, Cone & Belding",annie-kerguenne-6284005b,Planner and Management Supervisor
,,annie-kerguenne-6284005b,
January 2016,MFB MeinFernbus GmbH,jasper-spruytte-a7ba7621,iOS Developer
January 2014,,jasper-spruytte-a7ba7621,iOS Developer
December 2012,Anywhere s.r.o.,jasper-spruytte-a7ba7621,iOS Developer
September 2011,Cronos,jasper-spruytte-a7ba7621,iOS Developer
June 2011,MobileJuice,jasper-spruytte-a7ba7621,Internship Mobile Development
December 2010,Erasmus Hogeschool Brussel,jasper-spruytte-a7ba7621,Mobile Application Developer
July 2009,,daniel-alm-38117595,Independent iOS and Mac Developer
November 2013,Google,daniel-alm-38117595,Software Engineer
June 2009,,daniel-alm-38117595,Studentische Hilfskraft
February 2016,Accent Jobs,anouksickman,Sales Consultant
March 2014,Accent Jobs,anouksickman,HR Recruitment Consultant
2005,,anouksickman,Trainer/ Coaching
February 2011,,anouksickman,
October 2012,Accent Jobs,andres-quiroz-marnef-3022b64b,Senior Account Manager
April 2012,,andres-quiroz-marnef-3022b64b,Redactie- en productie-assistent (freelance + stage)
January 2012,,andres-quiroz-marnef-3022b64b,Logistic manager Marketing campagnes (Student)
January 2010,,andres-quiroz-marnef-3022b64b,Projectverantwoordelijke/Promo/host/kelner/driver (Student)
2008,,andres-quiroz-marnef-3022b64b,Promo (Student)
April 2014,Hays,sarah-peeters-b9181a8b,Consultant Construction & Property
April 2015,Hasso Plattner Institute,maximilianbrehm,Academic Assistant at the Algorithm Engineering Chair
March 2014,Rohde & Schwarz,maximilianbrehm,Intern
May 2005,,ariannahuffington,President and Editor-in-Chief
July 2015,Hasso Plattner Institute,steven-ney-7a545314,D-Fellow
August 2009,Jacobs University Bremen,steven-ney-7a545314,Professor of Policy Sciences and Social Entrepreneurship
September 2010,HPI School of Design Thinking,steven-ney-7a545314,Teacher
June 1997,International Institute for Applied Systems Analysis (IIASA),steven-ney-7a545314,Research Collaborator
July 2005,Singapore Management University,steven-ney-7a545314,Assistant Professor for Political Science
May 1998,,steven-ney-7a545314,Research Fellow
May 2013,Hasso-Plattner-Institute,meyercarsten,PHD Student
January 2008,,meyercarsten,Consultant
January 2008,,meyercarsten,Consultant
October 2013,,nathalia-nogueira-7772014b,Teacher / Design Thinking coach
November 2012,,nathalia-nogueira-7772014b,Co-founder and Design Thinker
February 2012,,nathalia-nogueira-7772014b,Design Sorcer / Art Buyer
July 2010,,nathalia-nogueira-7772014b,"Senior Designer, Freelancer"
January 2009,,nathalia-nogueira-7772014b,Senior Designer
November 2008,,nathalia-nogueira-7772014b,"Senior Designer, Freelancer"
May 2008,,nathalia-nogueira-7772014b,Marketing and Design Coordinator
March 2007,,nathalia-nogueira-7772014b,Design Coordinator
December 2006,Accenture,jason-busiek-4a280bb,SAP HCM Senior Manager
August 2006,,jason-busiek-4a280bb,SAP HCM Sr. Consultant
November 2005,,jason-busiek-4a280bb,SAP HR Consultant
October 2004,,jason-busiek-4a280bb,Sr. SAP Consultant
May 1998,Graybar Electric,jason-busiek-4a280bb,SAP HR Programmer/Analyst
