'person', 'title', 'company', 'dates'
'0', 'NET Developer', 'Wells Fargo Bank - Charlotte, NC', 'Oktober 2015 bis  Gegenwart'
'1', 'Developer, and driver class C.', 'Winonics - Brea, CA', 'Juli 2010 bis  Gegenwart'
'2', 'Salesforce Developer', 'Hughes Networks & Systems - Germantown, MD', 'Februar 2015 bis  Gegenwart'
'2', 'Salesforce Developer', 'Sudden Link Communications - St. Louis, MO', 'März 2014 bis  Januar 2015'
'2', 'Salesforce Developer', 'VW Credit - Naperville, IL', 'April 2013 bis  Februar 2014'
'2', 'Salesforce Developer', 'Ford - Detroit, MI', 'September 2012 bis  März 2013'
'2', 'Salesforce Developer', 'Sony Corporation', 'Februar 2012 bis  August 2012'
'2', 'Salesforce Developer', 'Chase Bank - Irvine, CA', 'Februar 2011 bis  Januar 2012'
'2', 'Java Developer', 'Cox Communications - Atlanta, GA', 'Januar 2010 bis  Januar 2011'
'2', 'Java Developer', 'Intergraph - Hyderabad, Andhra Pradesh', 'Juni 2007 bis  Dezember 2009'
'4', 'Sr Tableau developer', 'Home Site Insurance - Boston, MA', 'August 2013 bis  Gegenwart'
'4', 'Reports Developer', 'American Towers - Woburn, MA', 'Januar 2012 bis  Juni 2013'
'4', 'SQL Developer', 'TJX Corporation', 'Januar 2011 bis  Dezember 2011'
'4', 'Data Analyst', 'KBS Technologies - Chennai, Tamil Nadu', 'Januar 2008 bis  Dezember 2010'
'5', 'Developer', 'Lothian Ave - New York, NY', 'Juli 2015 bis  Gegenwart'
'5', 'Developer/Designer/Creator', 'Scrum Master - New York, NY', '2015 bis  Dezember 2015'
'5', 'College Assistant/Student Help Desk Manager', 'York College CUNY Information Technology Department - Queens, NY', 'Juli 2009 bis  Januar 2010'
'5', 'Volunteer/Field Technician', 'York College CUNY Information Technology Department - Queens, NY', 'September 2008 bis  Juli 2009'
'6', 'Java/J2EE Developer', 'Liberty Mutual - Dover, NH', 'September 2015 bis  Gegenwart'
'6', 'Java/J2EE Developer', 'Cardinal Health Inc - Dublin, OH', 'Juni 2014 bis  August 2015'
'6', 'Java/J2EE Developer', 'Export Import Bank of United States - Washington, DC', 'Juni 2013 bis  Mai 2014'
'6', 'Java/J2EE Developer', 'Sapient - Miami, FL', 'Januar 2012 bis  Mai 2013'
'6', 'Java developer', 'IKYA - Chennai, Tamil Nadu', 'Februar 2010 bis  Dezember 2011'
'7', 'Developer', 'Goldman Sachs - New York, NY', 'Mai 2015 bis  Gegenwart'
'7', 'Associate', 'Jefferies & Company, Inc. - New York, NY', 'Januar 2014 bis  April 2015'
'8', 'DEVELOPER', 'Healthsmart - Charleston, WV', 'Dezember 2012 bis  Mai 2016'
'8', 'CONSULTANT', 'Healthsmart - Charleston, WV', 'Juni 2012 bis  Dezember 2012'
'8', 'CONSULTANT', 'Genworth - Raleigh, NC', 'Juli 2011 bis  August 2011'
'8', 'Application Development & Maintenance Center of Excellence', 'Consulting through CGI Federal - Lebanon, VA', 'März 2009 bis  März 2009'
'8', 'CONSULTANT', 'MFX - Roanoke, VA', 'Oktober 2008 bis  Dezember 2008'
